Store ID,Store Name,Address,Service Area,State,Zip,Lat,Lon
29958,OUTRAGEOUS/1ST. ST.COLLECTIVE,,garden-grove,CA,,33.773905,-117.941448
30221,PACIFIC GREENS,,central-san-diego,CA,,32.747809,-117.108178
30610,PALM OASIS COOPERATIVE,,palm-springs,CA,,33.830296,-116.545292
30966,PALMDALE TOP SHELF MEDS,,antelope-valley,CA,,34.751371,-118.252298
30380,PAPA GANJA,,south-oc,CA,,33.644752,-117.684551
29600,PATIENT CARE KING,,pasadena,CA,,34.147785,-118.144516
30719,PATIENT TO PATIENT,,chico,CA,,39.728494,-121.837478
31331,PATIENTS IN MIND,,sacramento,CA,,38.581572,-121.4944
31551,PATS LEGACY SAN DIEGO DELIVERY SERVICE,,east-san-diego,CA,,32.715738,-117.161084
31622,PHARMAJANES,,west-los-angeles,CA,,34.041209,-118.442596
31606,PHARMOC,,dana-point,CA,,33.466972,-117.698107
31419,PK MEDS,,mira-loma,CA,,33.984542,-117.515945
31626,PLANT IT EARTH COLLECTIVE,,san-luis-obispo,CA,,35.282752,-120.659616
30843,PLUS E WELLNESS INC.,,pacific-beach,CA,,32.802458,-117.235585
31067,PURE CURE FARMACY,,south-contra-costa,CA,,37.662431,-121.874679
29770,QUALITY EXPRESS,,bakersfield,CA,,35.373292,-119.018712
31137,R AND S TOP SHELF INC.,,san-bernardino,CA,,34.108345,-117.289765
31149,RED HAWK DELIVERY,,oceansidecarlsbad,CA,,33.158093,-117.350594
30679,REHAB DELIVERY,,victorvillehigh-desert,CA,,34.586961,-117.126475
29677,RELAXED MEDICAL,,stockton,CA,,37.957702,-121.29078
30895,RILEYS RELAXED SOLUTIONS,,antelope-valley,CA,,34.751371,-118.252298
31288,RIVER VALLEY COLLECTIVE,,chico,CA,,39.728494,-121.837478
31386,RMD RESERVE MED DELIVERY,,upland,CA,,34.161637,-117.655218
31247,SAN DIEGO CLOUD 9 CO-OP,,ocean-beach,CA,,32.715738,-117.161084
29938,SAN DIEGO MEDICINE MAN,,central-san-diego-clubs,CA,,32.747809,-117.108178
29680,SAN JOAQUIN VALLEY WELLNESS,,fresno,CA,,36.746842,-119.772587
31435,SAVORY SATIVA FLOWERS AND SNACKS,,hollywood,CA,,34.092809,-118.328661
30087,SD EXPRESS,,north-inland,CA,,33.594066,-117.23681
30794,SEQUOIA WELLNESS DELIVERY,,beach-cities,CA,,33.872711,-118.381625
29883,SGV'S FINEST,,city-of-industry,CA,,34.019734,-117.958675
30948,SILICON VALLEY FARMS,,the-penisula,CA,,37.386052,-122.083851
31154,SIMPLY KINE,,ocean-beach,CA,,32.715738,-117.161084
30527,SIRIUS HOLISTICS,,beach-cities,CA,,33.872711,-118.381625
31318,SO CAL 420,,huntington-beach,CA,,33.660297,-117.999227
31188,SO CAL HOLISTIC HEALTH,,central-san-diego-clubs,CA,,32.747809,-117.108178
30443,SO CAL RELIEF,,victorvillehigh-desert,CA,,34.586961,-117.126475
29808,SOCALS CHOICE -,,ventura,CA,,34.274646,-119.229032
29716,SOS ORGANICS,,sacramento,CA,,38.581572,-121.4944
30325,SOUTH BAY MEDS,,oceansidecarlsbad,CA,,33.158093,-117.350594
30913,SOUTHERN CALIFORNIA PATIENT COALITION (SCPC),,anaheim,CA,,33.835293,33.835293
30560,SPEEDY TREES LB,,long-beach,CA,,33.77005,-118.193739
30088,STRESS FREE CAREGIVERS DELIVERY,,midtownculver-city,CA,,34.021122,-118.396466
30170,STUMP EXPRESS,,oceansidecarlsbad,CA,,33.158093,-117.350594
31038,SUGAR WORK LABS,,perris-hemet,CA,,33.74752,-116.971968
30762,SUZY OH'S,,oceansidecarlsbad,CA,,33.158093,-117.350594
31584,TAILORED HEALTH CARE,,south-bay-sd,CA,,32.59672,-116.902812
